Date,Open,High,Low,Close,Volume,Adj Close
2015-09-17,200.0200,202.8900,199.2800,199.7000,276046618,199.7000
2015-09-18,195.7100,198.6800,194.9600,195.3600,223657456,195.3600
2015-09-21,196.4400,197.6800,195.2100,196.4400,105726209,196.4400
2015-09-22,193.8800,194.4600,192.5600,193.9000,153890876,193.9000
2015-09-23,194.1100,194.6700,192.9100,193.6000,92790620,193.6000
2015-09-24,192.1500,193.4500,190.5600,192.9300,159378840,192.9300
2015-09-25,194.6400,195.0000,191.8100,192.8700,155054777,192.8700
2015-09-28,191.7800,191.9100,187.6400,187.9100,178515871,187.9100
2015-09-29,188.2700,189.7400,186.9300,188.0800,159045572,188.0800
2015-09-30,190.3700,191.8300,189.4400,191.5900,163452044,191.5900
2015-10-01,192.0800,192.4900,189.8200,192.1300,131078964,192.1300
2015-10-02,189.7700,195.0300,189.1200,195.0000,211003342,195.0000
2015-10-05,196.4600,198.7400,196.3300,198.4700,126320842,198.4700
2015-10-06,198.3100,198.9800,197.0000,197.7900,110274530,197.7900
2015-10-07,198.9000,199.8300,197.4800,199.4100,124307295,199.4100
2015-10-08,198.9500,201.5500,198.5900,201.2100,153055231,201.2100
2015-10-09,201.3800,201.9000,200.5800,201.3300,107069240,201.3300
2015-10-12,201.4200,201.7600,200.9100,201.5200,56395585,201.5200
2015-10-13,200.6500,202.1600,200.0500,200.2500,88038718,200.2500
2015-10-14,200.1800,200.8700,198.9400,199.2900,99106161,199.2900
2015-10-15,200.0800,202.3600,199.6400,202.3500,134142195,202.3500
2015-10-16,202.8300,203.2900,201.9200,203.2700,114580052,203.2700
2015-10-19,202.5000,203.3700,202.1300,203.3700,76523897,203.3700
2015-10-20,202.8500,203.8400,202.5500,203.1100,78448484,203.1100
2015-10-21,203.6100,203.7900,201.6500,201.8500,102038033,201.8500
2015-10-22,202.9800,205.5100,201.8500,205.2100,174911723,205.2100
2015-10-23,207.2500,207.9500,206.3000,207.5200,144442340,207.5200
2015-10-26,207.3000,207.3700,206.5600,206.9900,69032965,206.9900
2015-10-27,206.2000,207.0000,205.7900,206.5700,77905770,206.5700
2015-10-28,207.0000,208.9800,206.2100,208.9400,135906725,208.9400
2015-10-29,208.3500,209.2700,208.2100,208.8900,90525498,208.8900
2015-10-30,209.0600,209.4400,207.7400,207.9300,131076942,207.9300
2015-11-02,208.3200,210.6200,208.1700,210.3900,86270811,210.3900
2015-11-03,209.9700,211.6600,209.7000,211.0000,95246052,211.0000
2015-11-04,211.3500,211.5000,209.7200,210.3800,96224477,210.3800
2015-11-05,210.4300,210.9800,209.0900,210.1500,78408744,210.1500
2015-11-06,209.7400,210.3200,208.4600,210.0400,110471473,210.0400
2015-11-09,209.3100,209.4900,206.9500,208.0800,131008660,208.0800
2015-11-10,207.5100,208.6000,207.1900,208.5600,75874602,208.5600
